"FA番号","KENCODE","館名","電話1","電話2","電話3"
"FA000106","13","東京工業大学 附属図書館","東京都目黒区大岡山2-12-1 (L-1)","03-5734-2092"
"FA000117","14","東京工業大学 附属図書館 すずかけ台分館","神奈川県横浜市緑区長津田町4259-S3棟","045-924-5152"
"FA000150","14","明治学院大学 横浜校舎 図書館","神奈川県横浜市戸塚区上倉田町1518","045-863-2037"
"FA001007","01","北海道大学 附属図書館","札幌市北区北8条西5丁目","ILL担当: 011-706-4095","来館利用担当: 011-706-3956"
"FA001018","01","北海道大学 附属図書館 北図書館","札幌市北区北17条西8丁目","011-706-5571(DI)","011-716-2111(大学大代表)"
"FA001029","01","北海道大学 文学研究科・文学部図書室","札幌市北区北10条西7丁目","011-706-3009"
"FA001040","01","北海道大学 大学院教育学研究科・教育学部図書室","札幌市北区北11条西7丁目 北海道大学 大学院教育学院・教育学研究院・教育学部図書室","011-706-4095(DI)"
"FA001062","01","北海道大学 大学院理学研究科・理学部図書室","札幌市北区北10条西8丁目","011(706)2665[依頼・受付]","011(706)2634[数学受付]"
"FA001073","01","北海道大学 医学研究科・医学部図書館","札幌市北区北15条西7丁目","011-706-5016(DI)"
"FA001084","01","北海道大学 大学院歯学研究院・大学院歯学院・歯学部図書室","札幌市北区北13条西7丁目","011-706-4210"
"FA001095","01","北海道大学 薬学部図書室","札幌市北区北12条西6丁目","011-706-3914(ILL連絡先)"
"FA001109","01","北海道大学 大学院工学研究科・工学部図書室","札幌市北区北13条西8丁目","011-706-6166"
"FA001120","01","北海道大学 大学院農学研究科図書室","札幌市北区北9条西9丁目","011-706-2803(受付)","011-706-2802(依頼)"
"FA001153","01","北海道大学 大学院獣医学研究院図書室","札幌市北区北18条西9丁目","011-706-5179"
"FA001164","01","北海道大学 大学院水産科学研究科・水産学部図書室","北海道函館市港町3-1-1","0138-40-5611"
"FA001175","01","北海道大学 低温科学研究所 図書室","札幌市北区北19条西8丁目 北海道大学 低温科学研究所 図書室","011-706-5449"
"FA001186","01","北海道大学 電子科学研究所 図書室","札幌市北区北21条西10丁目 北キャンパス合同事務部 北キャンパス図書室(電子研担当)","011-706-9106(DI)"
"FA001197","01","北海道大学 北キャンパス合同事務部","札幌市北区北21条西10丁目","011-706-9106"
"FA001200","01","北海道大学 遺伝子病制御研究所 図書室","札幌市北区北15条西7丁目","011-706-5016(DI)"
"FA001211","01","北海道大学 大学院地球環境科学研究院 図書室","札幌市北区北10条西5丁目","011-706-2208"
"FA001222","01","北海道大学 大学院保健科学研究院","札幌市北区北12条西5丁目","011-706-3319"
"FA001244","01","北海道教育大学 附属図書館","札幌市北区あいの里5条3丁目1番6号","011-778-0289/0288"
"FA001255","01","北海道教育大学 附属図書館 函館館","函館市八幡町1-2","0138-44-4231"
"FA001266","01","北海道教育大学 附属図書館 旭川館","北海道旭川市北門町9丁目","0166-59-1234"
"FA001277","01","北海道教育大学 附属図書館 釧路館","釧路市城山1-15-55","0154-44-3243(直通)"
"FA001288","01","北海道教育大学 附属図書館 岩見沢館","岩見沢市緑が丘2丁目34-1","0126-32-0240"
"FA001299","01","室蘭工業大学 附属図書館","北海道室蘭市水元町27番1号","0143-46-5189"
"FA001302","01","小樽商科大学 附属図書館","北海道小樽市緑3-5-21","0134-27-6541"
"FA001313","01","帯広畜産大学 附属図書館","帯広市稲田町西2線11番地","0155-49-5340"
"FA001324","01","旭川医科大学 図書館","旭川市緑が丘東2条1丁目1番1号","0166-68-2226(DI)"
"FA001335","01","北見工業大学 図書館","北見市公園町165番地","0157-26-9194"
"FA001346","02","弘前大学 附属図書館","青森県弘前市文京町1","0172-39-3163(DI)","0172-36-2111(代表)"
"FA001357","02","弘前大学 附属図書館 医学部分館","弘前市在府町5","0172-39-5232(依頼)","0172-39-5232(受付)"
"FA001368","03","岩手大学 図書館","岩手県盛岡市上田3-18-8","019-621-6086"
"FA001379","04","東北大学 附属図書館","仙台市青葉区川内27-1","022-795-5941"
"FA001390","04","東北大学 附属図書館 北青葉山分館","仙台市青葉区荒巻字青葉6番3号","022-795-6373"
"FA001404","04","東北大学 附属図書館 医学分館","仙台市青葉区星陵町1-1","022-717-7981"
"FA001415","04","東北大学 附属図書館 工学分館","仙台市青葉区荒巻字青葉6-6-03","022-795-5895"
"FA001426","04","東北大学 附属図書館 農学分館","仙台市青葉区荒巻字青葉468-1 青葉山コモンズ内","022-757-4023"
"FA001437","04","東北大学 金属材料研究所 図書室","仙台市青葉区片平2丁目1-1","022-215-2188"
"FA001448","04","東北大学 大学院生命科学研究科","宮城県仙台市青葉区片平2丁目1-1","022-217-6310"
"FA001481","04","東北大学 流体科学研究所","仙台市青葉区片平2丁目1-1","022-217-5312"
"FA001492","04","東北大学 電気通信研究所 図書室","仙台市青葉区片平2丁目1-1","022-217-5423"
"FA001517","04","宮城教育大学 附属図書館","仙台市青葉区荒巻字青葉149","022-214-3350"
"FA001528","05","秋田大学 附属図書館","秋田市手形学園町1-1","018-889-2279(直)"
